ulasan;truth_label;confidence
tidak bisa verifikasi akun lewat wa selalu eror ketika mau meminta kode verifikasi;negative;7,97E+15
Sangat membantu;positive;6,69E+15
ini gimana caranya kalau lupa sandi  email mau login via no tlp jg gk bisa daftar lgi  ktp  akun;neutral;9,67E+15
moga bisa menjembatani warga dengan pengurus atau perangkat;neutral;9,93E+13
min mau daftar koq nik sdh terdaftar bagaimana mengatasinya suwoon min;neutral;9,88E+15
aplikasi tidak bisa di kliktidak bisa di buka terutama yg ke poli umum puskesmas;negative;9,98E+15
cara login lagi gimana min utk pengguna lama yang otomatis terlogout karena update dan lupa pasword tidak bisa;neutral;9,75E+15
ank sy lulus d ingin lnjut d gk ada biaya ank sy llus coumpoud di pens its;neutral;9,98E+15
harusnya untuk aplikasi saat lupa password berdasarkan nik bukan email  username sebab nilai pembandingnya  nik untuk  akun dengan begitu bantuan lanjutan ke siola hanya saat pemilik nik kehilangan akses email  atau akses pada nomor hapenya;neutral;5,83E+14
jv jv ku l ny;neutral;9,94E+15
sy kasih b dulu soalny kemarin laporan aspal ambles depan toko yg mengakibatkan genangan air nyiprat sampai kedalam toko dan sehari kemudian dibenerin;neutral;9,60E+15
aplikasi g jelasblm pernah daftar tp keterangan nik sudah terpakai;negative;9,98E+15
disitus username nya bisa dibuat login pindah ke aplikasi ini buat login username akun tidak terdaftar permudah urusan rakyatnya warganya  jgn dipersulit warganya;neutral;9,97E+15
iki vivi sumanti ada mau;neutral;9,98E+15
assalamualaikum mau tanya akun saya lupa sandi ya untuk mengurus ya bagaimana ya bapakibu;neutral;9,94E+15
pada saat buka alplikask wargaku muter;negative;9,99E+15
untuk verifikasi no hp harus lewat brower dulu;neutral;9,99E+14
tidak bisa input pengajuan karena kamera tidak terdeteksi;negative;8,96E+15
aplikasi wajib bagi seluruh kota di indonesia;positive;9,90E+15
gabisa daftar akun gimana solusinya null terus;negative;6,54E+14
mempermudah urusan tanpa harus mondar mandir k kantor pelayanan publik;positive;6,01E+15
mantabb tanggapannya langsung direspon terima kasih pak wali erie cahyadi;positive;9,32E+15
cukup solutif karna sekali lapor urusan dengan kelurahan langsung ditangani;positive;5,05E+15
di xiaomi  android  mui  kamera tidak bisa dibuka;negative;8,79E+15
saya belum pernah daftar tapi koq ada pemberitahuan  nik  akun  padahal saya belum pernah daftar sama sekalian;negative;9,95E+15
username nya tolong di tampilkan dong mau masuk sswalfa di web lupa username  mau reset username juga gbisa;negative;9,98E+15
daftar akun e ae uwangel cak aplikasi opo iki cak;negative;9,98E+15
tolong usulan saya yg lewat aplikasi di tindak lanjuti karena selama ini saya belum pernah mendapat bansos dan pengajuan mulai  saya menulis pengaduan  dan belum terverifikasi dan belum ada survei ke rumah saya yang rsss dan berpenghasilan rendah tolong bapak walikota eri cahyadi saya mengucapkan terimakasih;neutral;9,29E+15
splash screen time out;negative;9,82E+15
mohon penyelesaian keluhan agar selesai dari kedua belah pihak agar keluhan sudah terselesaikan dengan baik atau tidak sesuai dengan laporan yang dinginkan;neutral;8,71E+15
belum ada komentar yang ada;neutral;8,57E+15
seharusnya aplikasi ini bisa jadi tempat pengaduan dan pengajuan bagi warga surabaya yg butuh bantuan;neutral;9,82E+15
aplikasi adminduk yang bisa diakses cm pemutakhiran gelar aneh;negative;9,98E+15
tidak ada pusat bantuannya sebelum login atau daftar maaf saya kasih bintang  karena saya ingin daftar namun no ktp saya sudah terpakai namun alamat email saya tidak tau tolong di kasih lupa pasword via nomer telponwa;negative;9,98E+15
ngga bisa isi kecamatan di menu pendaftaran catin sudah klik cari tp tetap saja;negative;9,99E+15
gak bisa di pakai mohon di perbaiki kalau mau sungguh;negative;9,82E+15
aplikasi masih perlu perbaikan total;negative;9,94E+15
tolong ditambahi fitur tanggapan balik setelah kita direspon oleh dinas terkait sehingga komunikasi bisa dibangun  arah  suwun;negative;9,97E+15
membangun kota mulai dari rt rw tingkat kelurahan dlm rangka mengendalikan banjir;positive;9,97E+15
gak bisa upload foto pdhalsudah aktifin kamera;negative;9,97E+15
utk keterangan warga miskin sebaiknya d ganti masyarakat berpenghasilan rendah seperti semula;neutral;9,98E+15
membuat akte kelahiran dan kk sayang setelah jadi tidak dapat diunduh;negative;9,77E+15
tolong pengaduan untuk petugas kebersihansampah kampung ditampilkan;negative;9,99E+15
pelayanan pengaduan respon cepat  ada yg lambat perlu ditingkatkan antar instansi untuk berkoordinasi terkait aduan masyarakat;neutral;9,98E+15
cukup membantu saat mau periksa ke puskesmas karena bisa ambil no antrian online jadi bisa hadir sesuai waktu yang di tentukan;positive;9,91E+15
tapi aplikasinya berubah tidak bisa masuk walaupun sudah isi user name dan pasword;negative;8,87E+15
dear pemkot surabaya tolong untuk apk ini di perluas lagi bukan hanya untuk warga lokalsurabayatetapi mampu mencakup warga luar kota yang tinggal di surabaya ataupun kontrak dan kost terima kasih;neutral;9,47E+15
parah lupa user name dan password tdk ada solusi bikin akun baru tdk bisa;negative;6,46E+15
knp kode odp ya gag bisa diisi padahal syarat ya pengaduan kode odp ya wajib diisi mhn bisa diperbaiki lagi;negative;9,97E+15
bpk walikota gubenure endih bantuane aku wargamu jok bidek ae;negative;8,21E+15
sangat membantu tetapi kode odp tidak bisa di isi padahal untuk mengupload data harus di isi mohon diperbaiki lagi;neutral;9,08E+15
kenapa dokumen yg sudah selesai tidak dapat di download;negative;6,22E+15
untuk cek status warga penerima mbr tdk berfungsi;negative;9,98E+15
sering mengalami susah unduh atau lihat dokumen mohon ditingkatkan kembali agar kendala tersebut segera teratasi nanti kalo sudah ada peningkatan akan update bintang terimakasih;negative;9,89E+15
bintang  dulu nunggu laporan ditidaklanjuti;negative;9,71E+15
daftar pake nik udah cukup karena data udah terekam di database ga perlu isi alamat lengkap;neutral;9,96E+15
saya tidak bisa masuk;negative;9,94E+15
tdk masuk data saya dan respon tidak ada;negative;7,19E+15
kenapa saat daftar akun baru kok muncul nik harus sesuai wilayah surabaya padahal nik ktp saya adalah xxxxxxxxxxapa yang keliru;negative;5,69E+15
lumayan komplit tapi saya kesulitan login berkalikali tertera password dan nama salah perbaiki lagi layanannya kalau lupa password bisa dikasih semacam kode otp via email;negative;9,33E+15
update versi terbaru malah menu pengaduan tidak bisa dibuka keterangannya memuat data loading terus;negative;9,99E+15
daftar ae g isok;negative;9,42E+15
malem ngajuin pengaduan paginya langsung di tindak bangga jd warga surabaya;positive;9,38E+15
saya kasih bintang  aja yasoalnya datanya tidak sesuai dgn yg di kelurahansetelah saya download data mbrnya berubah menjadi tidak terdaftar hi hi hihiiiipemkot pemkot;negative;5,33E+15
data mbr tdk sama dgn yg ada di kelurahan di aplikasi awalnya masuk dlm mbr setelah update sdh tidak masuk dlm mbr tp setelah dlakukan pengecekan kk dan nik di kelurahan sudah masih mbr mana yg benar;negative;8,17E+15
kenapa aplikasi e pemutakhiran data di aplikasi wargaku surabaya tidak bisa diaksesdilihat;negative;9,67E+15
aplikasi bagus untuk melaporkan fasilitas publik yang ada di surabaya;positive;5,07E+15
apik langsung d tanggapi;positive;9,68E+15
aplikasi ini membantu komunikasi warga dgn pemerintah;positive;9,43E+15
saya pernah usul blt koq dijawabnya selalu usulan diterima tapi nggak pernah dapat blt nya mohon bantuannya yang berwenang;negative;7,89E+15
jooss laporan warga wisma tirta agung asri langsung ditindaklanjuti;positive;9,98E+15
tidak bisa daftar  nomer nik selalu salah  padahal nomer nik sudah saya masukkan sesuai katepe;negative;9,37E+15
bintang  dulu udah setahun lebih gada kepastian dari apk ini buat bantu pengangguran;negative;9,19E+15
sementara bintang  dlmau coba download ulang krn kemarin tiba ga bs dpake antri online pkmpdhl sblmnya bsmoga skr bs stlh dwnld ulang ini;negative;9,93E+15
perbaiki segera saya mau komplain terkait sertifikat vaksin ke tapi tombol upload ktp dan tombol bukti vaksin tidak bisa ditekan terimakasih;negative;5,56E+15
login akun baru gabisa pak ery cahyadi gimana inimohon diperbaiki lagi;negative;9,60E+15
aplikasi opo iki daftar ae gak isok;negative;8,93E+15
okokbisa login ternyata pakterima kasih;positive;9,94E+15
tidak bisa mendaftar minta tolong utk pihak pemkot surabaya utk diperhatikan kembali agar digitalisasi modern sukses dan lancar utk warga surabaya terima kasih;negative;9,96E+15
saya daftar akun baru kok gk bisa ya;negative;6,21E+15
minta petujuk tentang kata amel atau kata kunci pasbor;neutral;9,99E+15
tolong dong kasih riwayat pencaharian saya habis daftar antrian di puskesmas secara online sudah keluar nomor antrian tapi lupa untuk screenshot dan download saya cari buat daftar riwayatnya tidak ada;neutral;9,81E+14
masih akan coba mendaftar puskesmas;neutral;9,99E+15
mohon penertiban bangunan di sepanjang jl ngagel dadi banyak bangunan yg mempersempit jalan terima kasih;neutral;9,16E+14
perjinan cepat diprosesasal persyaratan berkas lengkap;positive;9,44E+15
pengaduan sertifikat vaksin kok suwi eram tanggapane aplikasi opoooooo iki gedabrus;negative;9,98E+15
buat laporanusulan bansos tapi belum di verifikasi;neutral;9,96E+15
kepada bpk eri cahyadi walikota surabaya mohon bantuannya dalam mengurus surat sertifikat hak milik tanah saya saya terkendala oleh sikap ibu lurah balaskrumprik wiyung surabaya barat yang tidak mau memberi surat untuk pengurusan sertifikat tersebut atas perhatian saya ucapkan terima kasih;neutral;9,71E+15
sek angele ngelebokno nik ktp jare gak terdaftar lak aku g di akoni penduduk surabaya yowes tak pindah penduduk konoha;negative;9,48E+15
gak bisa di instal;negative;9,99E+15
udah ngisi nik tapi nik tidak terdeteksi nik surabaya ternyata lupa kalo saya warga negara kongo selatan;neutral;8,39E+15
kesini karena katanya bisa melakukan pengaduan perihal sertifikat vaksin yg blum muncul saya kasih bintang satu dulu klo di tanggapi keluhan saya dan sukses akan saya naikkan okey;neutral;8,83E+15
kalo bisa juga bisa utk mengirim video dan gambar dari obyek laporan;neutral;9,98E+14
mohon di kasih ganti kata password tolong di adakan saya ini mau ganti password tidak bisa gimana ini;negative;9,99E+15
bikin akun awal menggunakan nik warga surabaya malah tidak bisa dan di aplikasi tertulis nik tidak ditemukan silahkan mendaftar menggunakan akun dengan nik surabayatolong tindak lanjut nya;negative;9,98E+15
gak bisa daftar daftar selalu tulisan eror  lalu bagaimanakah solusinya;negative;8,39E+14
saya mau mendaftar tapi nik nya tdk terdaftar padahal saya warga surabaya gmn dong;negative;9,45E+15
apakah servernya erorr ya saya baru daftar tapi ndak bisa trs  mohon penjelasannya;negative;9,91E+15
saya kok tidak bisa unggas file ya pdhl sudah saya jadikan pdf file kk dan ktp bisa dibantu;negative;9,94E+15
gabisa login ud hub wa buat nanya klo gabisa login ud dksh username sama pswrdtetep aja ga bisa login tlg d bantu min mksh;negative;9,86E+14
aplikasinya gk bisa dibuka apa karena hari minggu ya;negative;9,01E+15
punya saya kok ketika masuk muncul tulisan mengecek pembaruan trs pdhal udh d update jg masih muncul trs g bisa masuk ke menu;negative;5,96E+15
kenapa daftar harus pake nik ya  takut lupa mohon utk dipermudah dong min cukup gmail  password saat mendaftar;neutral;9,99E+15
setuju untuk menginfokan kejadian dilapangan secara cepat dan tepat;positive;7,30E+15
respon cepat atas saran maupun masalah yang disampaikan;positive;5,34E+15
go;positive;9,85E+15
saya kug g bisa mendaftar ya;negative;9,89E+15
baru  minggu di install sdh mnt di update kalau g i update g bisa d buka aplikasi nya;negative;9,99E+15
lg d coba dulu;negative;9,93E+15
masalah data mbr pak mohon di perhatikan khususnya warga surabaya yang ngontrak;neutral;9,78E+15
cuman saran aja  kalo boleh ditampilkan semua keluhan masyarakat di depan beranda aplikasi  biar masyarakat juga tau apa keluhanya dan sosialisasinya  terimakasih;neutral;8,52E+14
apa bisa saya menanyakan prosedur kepengurusan surat pernyataan ahli waris untuk penutupanpengambilan uang di bank;neutral;9,99E+15
ini baru suroboyo;positive;9,85E+14
min apk ini hanya pengajuan dan laporan saja ta atau ada informasi lain mengenai sby baik dri sektor perekonomian pendidikan dll;neutral;9,82E+15
bersamaan cepat nya tanggapan via online semoga cepat juga tanggapannyatindak lanjut dalam proses di lapangan;positive;7,65E+15
maaf min caranya komen di aplikasi gmna  komentar di blsan gitu min;neutral;9,98E+15
coba sek minndelok perkembangane data pelapor dirahasiakan op gk min;neutral;9,65E+15
untuk syarat dan ketentuan ini dilihat dimanaga ada linknyakerahasiannya terjaga kan ya;neutral;9,97E+15
mantul kota suroboyo;positive;9,92E+15
min datane seng lapor aman ngak yo;neutral;9,99E+15
kelurahan benowo kok tidak ada;negative;5,17E+15
saya terpaksa batal mengisi data pilihan tahun lahir yang paling tua adalah  sedang saya lahir tahun  saya tak bisa mengisi dengan benar;negative;6,10E+15
help warga surabaya for trouble solving;positive;9,18E+15
star lihat sejauh mana manfaat nya;neutral;6,93E+15
sementara telu sek ya min;neutral;8,49E+15
bintang  disik min min tolong jawaben yo kirokiro aduan warga iki dirahasiakan dan dilindungi gak pelapornya;neutral;9,94E+15
wkwk tdk bisa registrasi salam programmer penggerak;negative;9,84E+15
baru coba instal ternyata banyak iklan bola u udah dicoba x tetap muncul dan ga bisa dibuka aplikasinya semoga bs cpt diatasi thx;negative;5,72E+15
aplikasi yang dapat memudahkan membeli barang di umkm lokal;positive;8,57E+15
admin epeken sby sy hanya usul dan saran utk harga yg tertera di epeken sedapat mngkin disamakan dg harga pasar dan jangan lebih mahal selisih harga  demikian terimakasih;neutral;9,53E+15
memudahkan penjualan umkm di surabaya;positive;5,83E+15
tidak bisa log in padahal sdh memasukkan user dan password dgn benarbagaimana ini masuk akunnya tidak ada pilihan menu pemulihan akun atau lupa passward jika memang password salah;negative;8,98E+15
epeken surabaya terima kasih sudah hadir dan memfasilitasi warga surabaya dalam berjualan tolong dibantu  masalahnya login tidak bisa usernamepasword salah terus dan mau ganti pinpasword juga tidak bisa;positive;9,64E+15
pak erik tolong disempurnakan aplikasi buat lebih mudah;neutral;9,96E+15
dapat meningkatkan perekonomian keluarga yang dijual bisa beragam mudah dalam penguppoad an produk yg akan dijual terima kasih admin kota surabaya wani;positive;7,89E+15
versi aplikasinya gak bisa login via web bisa mohon diperbaiki dulu aplikasinya;negative;9,99E+15
min kalo lupa password dan username nya bagaimana tolong di kasih opsi lupa passwordusername;neutral;9,97E+15
terimakasih e peken alhamdulillah setelah beberapa hari terakhir ini sempat maintenance sekarang sudah bisa di akses kembali;positive;7,16E+15
bikin akun dr laptop lancar instal apk ini dan login ulang gagal terusmohon solusinya;neutral;9,93E+15
awalnya tidak bisa di buka lalu saya uninstall kemudian saya pasang lagi ternyata tetap tidak bisa;negative;9,89E+15
setelah ada pembaruanalah tidak bisa dibuka forceclose terus min;negative;8,87E+15
gak bisa masuk username n password uda lupa;negative;9,98E+15
masukkan produk ke katalog suusah amir gk bs masukkan gambar produk secara langsung kudu ss apa lwt galeri gitu file g cukup terlalu besar duhkah;negative;7,48E+15
yo opo login e aplikasi ruwet;negative;9,98E+14
gk iso daftar;negative;9,99E+15
kenapa tidak bisa login aplikasihanya bisa lewat desktop;negative;9,95E+15
kenapa tidak loginsign in via aplikasi padahal sdh daftar dan verivikasi email mohon infonya;neutral;9,98E+15
untuk user name dan password dapatnya dari mana ya;neutral;9,98E+15
aplikasi ini apa hanya khusus pns saja ya sdh download tapi gak bisa daftar;neutral;9,49E+15
tidak bisa login padahal sdh verifikasi klu desktop bisa;negative;9,97E+15
sudah daftar dan sudah verifikasi sukses tetapi tidak bisa login lewat aplikasi selalu dijawab usser name dan password salah;negative;9,91E+15
tolong diperbaiki sudah daftar via google tapi di aplikasi ndak bisa login;negative;9,98E+15
perbaiki lah masa login di pc bisa di aplikasi gabisa;negative;9,96E+15
sementara  bintang karena tidak bisa login kalau pakai aplikasi;negative;9,90E+15
ewangono download rek seng asli suroboyo  masalah kendala tunggu update aja;neutral;9,99E+15
masuk dari web bisa login klo lewat aplikasi ini kok ga bisa yo min rewangono poo min;negative;9,96E+15
tidak bisa login diaplikasi hanya bisa login pada laptop mohon diperbaiki;negative;9,99E+15
membantu presensi pegawai;positive;9,97E+15
kenapa kalau ganti hp apdatenya sulit dan harus ke kantor pusat coba dipermudah apdatenya nik terdaftar dan passwod lama kan sudah cukup sebenarnya;negative;6,60E+15
gak bisa ganti device;negative;9,97E+15
punya saya sudah  hari ini tidak bisa di buka muncul tulisan   mengecek pembaruan   moohon bantuannya takutnya presentsi tidak terbaca terimakasih banyak;negative;9,63E+15
pdhl sdh di update tpi masih login trus pembaruan;negative;9,99E+15
perlu ditingkatkan lagi uiux terima kasih;negative;8,45E+15
bagaimana jika lupa username dan pasword;neutral;9,37E+15
kak mau tanya  ini kenapa ya app kantorku loading trus  gk bisa absen nihh  minta bantuanya;neutral;8,97E+14
min ini sdh  minggu apk kantorku tdk bisabagaimana agar bisa normal dipake kmbali yamohon penjelasannyatrima kasih;negative;9,72E+15
gimana caranya lupa password login sudah saya tulis no nik tetep gak bisa karena hp ristart;neutral;9,98E+15
gk bisa login;negative;9,98E+15
keren bisa absen anywhere;positive;9,85E+15
memudahkan untuk absen bagi yang dinas luar lapangan;positive;9,89E+15
status nya anda sudah memiliki device yg aktif saat ini padahal hp keseret tapi login kembali udh gabisa;negative;9,92E+15
efisiensi dalam jarak zwaktu;positive;5,44E+15
bagi yang lupa password bisa check di google acount kalian lewat chrome  kemanan  pengelola sandi  pilih kantorku  ada tanda mata semoga berhasil;neutral;9,97E+15
membantu disaat ad kendala dijalan;positive;9,57E+15
tidak bisa login setelah log outganti ke perangkat lain;negative;9,98E+15
kak mau tanya dong hp saya kn semalem d restart pabrik sama suami sedangkan saya lupa passwordnya cara mengetahui gimana kak kalau ga ad kantorku saya susah ga bisa absen kalau misalnya telat n aplikasi ini sangat membantu kami semua terimakasih;neutral;7,93E+15
min mau tanyak hp saya yg biasa saya gunakan untuk log kehadiran di apk ini kan sedang trabel ahirnya saya gunakan hp yang baru untuk login kenapa tidak bisa ya mohon bantuanya selebihnya apk ini oke sangat membantu;neutral;6,56E+15
mohon untuk ditambahkan fitur ketika pengguna lupa password hp rusak hp hilang dll;neutral;9,97E+15
device yang terdaftar hilang dicuri  bagaimana agar bisa login akun saya di perangkat yang baru;neutral;9,97E+15
kalau mau ganti ke hp yg lain kok gk bisa login yaa ada yang tau kenapa;neutral;9,35E+14
bagaimana cara pindah ke hp lain karena awal login pake hp lama tolong dibantu;neutral;9,87E+15
sip untuk kecepatan akurat kehadiran;positive;9,61E+15
kenapa berkas saya tidak bisa di cetak tidak ada halaman eror  padahall lagi butuh cepat;negative;9,79E+15
masih bingung;negative;9,99E+15
aplikasi terutama di layanan pengaduan sudah bagus tapi kadang mau buka sering ngebug semoga secepatnya tidak sering error;negative;9,54E+15
verifikasi nomer hp selalu tidak berhasil kenapa;negative;9,92E+15
aplikasi pemerintah tapi bikin orang makin pusing kalau semua urusan dibikin online ya benahi yg gak pas di aplikasinya;negative;9,99E+15
malah bikin repot aja mengurus surat belum menikah aja sulitnya minta ampun mengajukan di hp ga bisa di submit di akhir mengajukan di web browser pc stuck saat menyimpan data mending cukup pakai berkas offline aja kalau begini yang cukup pakai surat pengantar rt dan rw kalau sekarang udah pakai surat pengantar di minta online juga di infonya juga pas di kelurahan ngalahi  ngikut ngurus online sistem nya kopler ngebug  stuck;negative;9,99E+15
tolong perbaiki sistem nya  mau ngurus apa suka eror lelet gajelas;negative;9,99E+15
sering ngebuk gk jelas apk ruwet;negative;9,99E+15
kocak;negative;9,99E+15
aplikasi gak mendukung data ilang terus kadang error ngurus surat buat married aja ribet kali huft bukan memudahkan malah menyulitkan maaf ini realita bapak ibu sekalian;negative;9,99E+15
loading terus ga mari mari;negative;9,99E+15
mau verifikasi no hp aja sulit gimana mau ngurus surat online nya;negative;9,80E+15
aplikasi gak jelas;negative;9,99E+15
aplikasi pemerintah gak ada yang bener sudah berjuang matian memulihkan akun sudah berhasil ketemu dan masuk waktu verifikasi nomor hp berulang kali web error inisiatif wa manual untuk otp tapi balik ke menu halaman utama otomatis isi ulang otp lagi mohon cek kembali sepertinya coding aplikasinya ada yang salah;negative;9,62E+15
tidak membantu sama sekali bukannya mempermudah malah mempersulit padhal semua udah pas tpi selalu gagal ngapain ciptaiin apk gini klo ujung nya bikin mumet warga nya angellllllll;negative;9,99E+15
tidak bisa log;negative;9,75E+15
rouwet aplikasi gak malah gampangno malah uangel mosok verifikasi kok eror terus download bukti ekitir gk knek angel wez;negative;9,99E+15
banyak warga yang ururanya atau keperluan tertunda hanya mengurus surat yang hanya makan waktu  hari selesai malah berminggu minggu belum selesai karena susah masuk datanya;negative;9,99E+15
semua disuruh pakai aplikasi tapi aplikasinya aja gak jelas semua file yg harus di upload sudah benar format tapi tidak bisa ke upload dan sistem eror terus gimana si;negative;9,99E+15
jika adanya aplikasi untuk mempermudah ini kenapa makin mempersulit warganya;negative;9,96E+14
garaii ruwet;negative;9,99E+15
gatel cokinput data ga bisa apanya yg mudahkalo bisa dibikin ribet knp harus gampang;negative;9,99E+15
penipu kata nya dipermudah pakai apk ini tolong ditingkatin lagi ngomong disesuaikan orang jadi mls ngurus tf;negative;9,97E+15
mau ngurus perizinan catin sudah  hari masukan berkas input data kalo di klik ajukan permohonan tapi belum ada verifikasi berhasil nggaknya apasih maunya bukannya mempermudah malah mempersulit gini ini membuang waktu dan tenaga belum nanti bolak balik kua rt rw kelurahan deadline tgl nikah sudah dekat saya bingung min tolong dikasih solusim yang cepat gini ini makin kebingungan belum izin kerjanya bolak balik rt rw ngurus berkas ya allah;negative;9,98E+15
ribet banget sing ngurus surat nikah kebanyakan verifikasi apaan cobaa ini ga ada singkronisai nya sma sekali ini antara kelurahan rt rw  ribet gajelas puyeng di tambah lagi aplikasi sering bug eror mempersulit;negative;9,99E+15
proses upload file ke aplikasi selalu gagal piye iki;negative;9,96E+15
banyak eror nya daripada solusinya bukan mempermudah tapi malah mempersulit ruwet ruwet ruwet;negative;9,99E+15
aplikasi pencitraan belum siap uda dilaunching malah makin ribet bikin orang mondarmandir ke kelurahan jaman bu risma pasti sudah dipecat developernya;negative;9,99E+15
eror gk sesuai ekspektasi;negative;9,99E+15
keluhan dari tgl  hingga sekarang tdk ada tindak lanjut bosem pd hal milik pemkot dan banyak eceng gondoknya tapi giliran di kritik eh gak jelas statusnya diping x gak ada tanggapan nunggu viral dulu trs baru dilkerjakan atau ga ada uang rokok makanya malas respon;negative;1,00E+16
ribet udah diikuti alurnya yg ada sistem error sj trz;negative;9,98E+15
aplikasi ruwet g mempermudah malah mempersulit mw log in aja ribet bgt mw udh keluar mw masuk lagi susah bgt aplikasi opo se sakjane iki;negative;9,99E+15
lemot  susah akses d buka terlalu sering gangguan;negative;9,98E+15
ini pemkot gk ada perubahan pada aplikasi apa dana kurang atau pemkot tidak mau ada kemajuan;negative;9,98E+15
dengan adanya aplikasih asw malah pusing  ribet pada saat saya daftar ulang saya tulis user dan pasword saat konfirmasi jawabannya  user atau email tidak valid pasword salah padahal ya itu yg kita pakai sehinggah saya tidak bisa membuka aplikasi sayang warga hanya ribet dengan username email dan pasword tlng bhs yg disampaikan pada kita gak perlu berbelit belit kalau mbantu ya langsung ditunjukin;negative;9,98E+15
aplikasi yang bikin susah dan sulit orang yang mau menikahbanyak persyaratan nikah setelah aplikasi ini muncul;negative;9,81E+15
verifikasi jelek;negative;9,99E+15
aplikasi kok kesalahan sistem terus ini gimana;negative;9,99E+15
percuma makin ribet dan susah masa verifikasi nomor telpon aja selalu error;negative;9,99E+15
