ulasan;truth_label;confidence
bukan memudahkan malah makin ribet kurang edukasi pada perangkat kelurahan dan rt rw sehingga penyampaiannya tidak tepat pada warga jadi kita di oper tolong di perbaiki lagi sistem input data tap file tidak bisa  malah dibilang hpnya gak mendukung aplikasi  pake pc juga gabisa buruk sekali pelayanannya;negative;9,99E+15
apk gk jelas ribet udh ikut zoom tapi belom keluar sertifikatnya;negative;9,99E+15
lemot aplikasi ne padahal wes gawe wifi;negative;9,99E+15
aplikasi gaguna cok laporan pungli ae gak onok respon hapusen ae po o aplikasine cok;negative;5,33E+15
birokrasi ribet di kira orang ga kerja ngurusin beginian sampai berminggu minggu kerja jauh di sumatera ngurusin ginian ngambil cuti  minggu ga cukup;negative;9,99E+15
selamat siangmohon bantuan kepada p walikota surabaya beserta dinas terkaitsaya sudah mengajukan pelebaran makam sejak tahun  sampai sekarang  hanya janji janji ajaorang hidup pasti mati tinggal tunggu jadwal aja maka dengan ini kami harus bertindak bagaimana sedangkan warga terus mendesak saya alasan makam wilayah saya sudah penuhsaya mengadu kemana lagi padahal sudah rapat di bpkad berserta dinas dinas terkaitdan sudah setuju semuatapi sampai sekarang zoonk;negative;9,99E+15
aplikasi eror gak jelas ngurus apa jadi ribet;negative;9,99E+15
aplikasi klampid dulu sebelum digabung jadi satu seperti sekarang ini bagus sangat membantu tapi sekarang utk verifikasi aja gagal terus kenapa ya;negative;9,98E+15
susah banget diaksesmw membantumempersulit sih ini birokrasi;negative;9,99E+15
aplikasi ruwet suka eror gak jelas mempersulit orang mau nikah;negative;9,99E+15
niat hati mengurus catin di suruh lewat aplikasi tapi aplikasinya kadang bisa di buka kadang enggak bener kecewa belum lagi kita harus bolakbalik ke rt rw kelurahan seharusnya pakai aplikasi membuat hidup jadi lebih mudah malah menguras waktu dan tenaga;negative;9,95E+15
aplikasi buat mengurus catin tapi aplikasi cuma loading doang gak selesai selasai kalo gak gitu server error aplikasi mohon diperbaiki jangan belum siap terus warga disuruh pakai;negative;9,99E+15
aplikasi telek pasword udh bener masih gagal terus dari kelurahan disuruh menggunankan aplikasi ini tapi tak bs digunakan mempersulit warga saja;negative;9,97E+15
lupa pasword susah relog in lagi;negative;9,96E+15
kebanyakan error sistemnya;negative;9,99E+15
ini kenapa slalu request time out teruss  gak bisa login;negative;9,94E+15
aplikasi apa ini gak bisa d akses juga tidak berguna  lebih gampang ngurus offline online tapi malah bikin nambah ribet;negative;9,98E+15
gak bisa dibuka buat request time out terus hadeh;negative;9,03E+15
yang bener aja dusuruh ngurus catin lewat aplikasi tapi aplikasi malah gak bisa dibuka sama sekali terus maunya bagaimana malah mempersulit pengurusan dan membuang banyak waktu tgl sudah dikerjar deadline tapi aplikasi masih bobrok banget apakah tidak ada perbaikan sama sekali  sedangkan berkas segalanya harus segera diberikan pada kua;negative;9,99E+15
error an mulu mana gbisa d buka pula apk gajelas;negative;9,99E+15
tolong di tingkat kan lagii apk nya buka apk nya aja gak bisa lohbuat apa terus kalo semua semua online tapi masih aja gak max apknya tolong pak eri gimana solusinya iniii;negative;9,90E+15
error terus gk berguna;negative;9,99E+15
server sering time out;negative;9,98E+15
surat ijin nikah susah banget jodoh jg gak tentu dpt y dr daerah mn  tuh d daerah lain urus surat nikah gampang d sini susah y mnt ampun;negative;9,99E+15
aplikasi tidak bisa terbuka percuma mending ngurus offline aja cepat;negative;9,25E+15
aplikasinya buruk susah banget di akses dan terlalu ribet untuk pengurusan surat surat lebih baik pakai cara manual aja lebih gampang dan cepat;negative;9,98E+15
masuk gagal terus ga bisa di buka kenapa ya;negative;9,49E+14
kalau ngasih itu sekalian tutorial ruwett e astagfirullah;negative;8,33E+15
dulu pernah daftar gampang kenapa sekarang daftarnya sangat sulit;negative;9,92E+15
minus pilihan pengurusannya di aplikasi kurang lengkap dan akses di pc juga gak bisa minimal bisa di akses di manapun hp maupun laptop banyak yang error terutama di perizinan klampid error untuk verifikasi nomer dan terlalu banyak permintaan perizinan jadi ribet;negative;9,98E+15
disuruh ngurus online katanya biar gampang tapi kenyataannya online malah ribet sering error sama sekali tidak berguna yang error sistemnya tapi yang disuruh refresh malah browsernya kocak;negative;9,99E+15
ribet;negative;9,99E+15
buruk banyak bug menyusahkan;negative;9,99E+15
sumpah ini mempersulit sswalfa tidak bisa dibuka kalo di logout ujungnya email sm password gabisa masuk lg karena dibilang salah padahal tidak pernah ganti email dan password;negative;9,98E+15
tambah ga karuan pusing ngurus domisili tambah ruwet ga koyo biyen;negative;9,98E+15
aplikasinya sering eror sudah daftar terus email  pasword nya bener malah engga bisa buat login mohon pemerintah di perhatikan lagi atau di perbarui lagi aplikasinya supaya lebih mudah untuk menggunakan aplikasi wargaku surabaya;negative;7,48E+15
sangat ribet apalagi untuk pasangan yang salah satunya dari luar kota;negative;9,78E+15
sangat membangu;negative;9,99E+15
tambah gak jelas gausah aneh poo;negative;9,93E+14
gajelas;negative;9,89E+15
ya jujur ajah semakin kesini semakin aneh program dari pemerintah programnya aneh ribet buangbuang waktu lagian buat aoa class catin diadakan  fungsinya buat apa  manfaatnya apa  tidak bermanfaat sama sekali toh yang di bimbing adalah hal yang biasa yang semua orang jelas sudah tau apa hal yang dilakukan sebelum dan sesudah menikah juju ajah aku kecewa sih dengan program dari pak eri cahyadi ini mohon ditiadakan atau di tindak lanjuti programnya kasihan yang luar kota ribet sertifikatn;negative;9,99E+15
jangan ribet dibikin online malah nyimpen data aja gak bisa tulisan dalam antrian malah makin molor waktu kalau ngurus heran perbaiki;negative;9,99E+15
makin ribet pakai aplikasi mau nikah malah sulit mending hapus aja;negative;9,99E+15
mau urus keperluan nikah ribet banget padahal sama sama domisili;negative;9,99E+15
tujuannya betul mempermudah tapi beneran kita belum siap situs ga diperbarui sejak  sering error aplikasi masih sangat banyak kekurangan untuk sekelas aplikasi pemerintahan dan tidak userfriendly saran saya mending balik lagi ke metode lama daripada buat orang makin bingung bukan malah kebantu;negative;9,99E+15
aplikasi bobrok pelayanan di kelurahan juga sama bobrok nya petugas pakai nada tinggi bentak;negative;9,99E+14
mau buat perizinan nikah bukan tambah mudah malah makin ribet;negative;9,57E+15
mau verifikasi nomor hp kok susah amat website nya selalu gagal;negative;9,99E+15
daftar baru pun gagal terus;negative;9,98E+15
ingat kita negara yg korup segala sesuatu dibuat susah klo mau cepat gak ribet ada calo nya sampai disini paham kan masak ga paham;negative;9,99E+15
setelah pembaruan ini semakin gak jelas ambil nomor antrian di puskesmas gak bisa di cek uda terdaftar apa blom gak bisa di cancel jg gk bisa tau uda terdaftar di puskesmas pihak puskesmas marah katanya daftar tp gak datang pdhl itu gk tau uda terdaftar apa blom mau di cancel gak bisa krn gk bisa di cek akhirnya di blokir bpjsnya yg salah aplikasi ini ya ibu penjaga puskesmas aplikasi rusak masih lebih baik yg dulu yg blum di update ke versi baru;negative;9,99E+15
banyak bug dan setiap tanggal merah server dimatikan;negative;9,95E+15
aplikasi payah bukan mempermudah malah bikin ruwet login gk bisa;negative;9,99E+15
gabisa daftar akun banyak bug jauh dari sempurna;negative;9,98E+14
aturan sampah;negative;9,99E+15
ok;positive;9,98E+14
sangat sangat menyulitkan aplikasi sering error;negative;9,99E+15
saya mengajukan keluhan tapi tdk ada tanggapannya gimana nih apakah aplikasi ini ada gunanya;negative;8,01E+15
saya kecewa dengan sistem pemerintah yg memperibet kita akte lahir sy nama ortu nya salah saya ingin membenarkan kesalahan nama tsb tapi sulit sekali di kelurahan sy sudah bolak balik ke kelurahan di pengadilan negeri sy ditolak karena kemungkinan dikabulkan nya kecil;negative;9,99E+15
gabisa login padahal udah bener mau bikin akun aja ribet malah mempersulit masyarakat;negative;9,99E+15
aplikasi gk layak gk siap gk bisa simpan data minus pool;negative;9,98E+15
mau nikah malah di persulitt;negative;9,98E+15
aplikasinya kok malah nggak jelas gini sih setelah diperbarui menu nya jadi sedikit;negative;9,99E+15
aplikasi tai relog mulu bangke;negative;9,96E+15
aplikasi ruwet;negative;9,96E+15
aplikasi yang belum siap edar dan kasiahan warga surabaya yang punya niat baik engkau persulitkan;negative;5,11E+15
surabaya ruwet mau ngurus ini itu harus pake apk segala apk gk layak di rilis juga mau ngurus surat nikah aj ribet mending offline hpus aj ini peraturan serba apk nya bikin susah yg mo nikah sudah ikut zoom tpi waktu ngisi ssw gk terdaftar calon catin ahh bikin emosi aj ruwettt polll surabayakuu bikin susah warga yg mau nikah aj  ruwetttt ruweettt poullll surabayakuuu;negative;9,99E+15
pengaduan jalan raya berlubang segera ditindaklanjuti dengan cepat mantaaaab;negative;8,57E+14
update nya susah alias tidak lancar;negative;9,99E+14
mau nikah aja ribet aplikasi nya sering trobel dan buang buang waktu cuma harus selsai ngisi ssw baru bisa lanjut ke tahap berikutnya payah;negative;9,98E+15
aplikasinya jelek bgt mau nikah aja susah kirim data pasangan ke aplikasi sering keluar sendiri aplikasinya benar ga jelas bgt menyusahkan orang yang niat mau nikah;negative;9,99E+15
ribet amat;negative;9,99E+15
aplikasi gagal salah sedikit bukannya bisa mungulang dari yg di tmpat salah malah harus mulai awai seperti baru upload foto sering error mending hapus aja kalo kek gini ngenakin petugasnya cuma duduk ngopi gajian;negative;9,99E+15
aplikasi tdk bisa masuk pdhl username dan password udah benar bikin susah orang saja;negative;9,92E+15
by aplikasi ku kira lebih mudah gak taunya kerja x aplikasi gak layak rilis;negative;9,79E+15
pak eri cahyadi saya minta tolong hapus saya aplikasi ini sangat mempersulit warga untuk memproses apapun itu;negative;9,92E+15
enakan ngurus offline lebih jelas dan terarah menggunakan aplikasi ini membuat saya semakin sulit mengurus pernikahan terlalu ribet caranya banyak menu yang tidak jelas kegunaan nya sswalfa tidak bisa di click selalu request time out saran saya di hapus saja aplikasi ini kembali mode offline saja kecewa;negative;9,98E+15
aplikasi bobrok mempersulit pernikahan gk ada penyuluhan sistem juga masih cacat ngurus pindah nikah aja sesulit ini bangke;negative;9,99E+15
lebih mudah yg klampid new generation sebelumnya ini agak ribet kadang bisa kadang gak bisa log in harus pindah dari pc dulu baru bisa log in via hp trus kenapa dokumen yg selesai diproses ga bisa diunduh lewat hp ya error terus pas coba buka via pc laptop baru bisa diunduh jadi bingung;negative;9,94E+15
jujur capek saya ngurus data harus gini aplikasi belum layak rilis kayak gini dipaksa harus ngurus online tpi bug dimana mulai dari foto gk bisa masuk email yg tidak masuk sampek data yg sudah diisi hilang dan harus nulis lagi dari awal untuk pak eri cahyadi sebagai walikota surabaya harusnya bisa lah buat aplikasi itu di uji dulu bugnya di perbaiki jgn aplikasi masih beta di rilis gtu aja merugikan warga pak;negative;9,99E+15
aplikasi terburuk dan ga jelas yang pernah saya download minta verifikasi via wa aja error terus sedangkan menu lain ga bisa diklik klo belum verifikasi via wa hadehh ganti aja orang it nya ga becus kerja itu;negative;9,99E+15
apk gak jelas iki tolong seng gawe apk matengno sek ojok angger mbok rilis syarat wajib kudu ngisi ngenean tapi apk e gk siap blas;negative;9,99E+15
aplikasi taek cok nyusahno wong ae gak kyk jamane bu risma sembarang kalir ngurus gampang;negative;9,99E+15
apa ini verifikasi wa eror teruss ga pernah di maintenance kah ini aplikasinya;negative;9,97E+15
aplikasi gajelas;negative;9,99E+15
sangat tidak membantu saya nge cek status mbr anak sy saja susah tidak ada menu cek mbr nya;negative;9,97E+14
aplikasi nge bug saya ngga bisa login terus pas mau cetak berkas tidak bisa mending langsung ke web dari pada aplikasinya;negative;9,87E+15
aplikasi ga jelas masa sudah daftar terus coba login ga email tidak terdaftar waktu daftar lagi nik sudah terpakai  x;negative;9,57E+15
saya suka dengan respon opd terkait hari ini laporan besoknya sudah ditindaklanjuti tapi sy sgt meyayangkan aplikasinya yg setiap hari selalu ngebug aplikasi tidak bisa dibuka kalau error sesekali sih bisa dimaklumi lah ini setiap hari dan setiap waktu e sy jadi kesulitan melihat perkembangan keluhan yg sy laporkan;negative;9,98E+15
bisa ga sih pemerintah bikin aplikasi yg bener malah menyusahkan;negative;9,99E+15
ini kenapa kok banyak bug  eror padahal sinyal juga bagus gk ada lag di hp tapi pas mau cetak berkas kok gk bisa download sama sekali terlalu ini mah;negative;9,99E+15
menyusahkan upload foto harus  mb mesti harus di resize dulu sangat ribet;negative;9,98E+15
aplikasi error ae  bener no aplikasi mu;negative;9,93E+15
mending ditutup aja apk nya;negative;8,02E+15
tidak bisa daftar knp ya apakah hp saya tidak tidak layak buat apk ini;negative;5,69E+15
disuruh verifikasi no tlfn tetapi apknya error trs tolong segera di perbaiki;negative;9,27E+15
aplikasi sampah gak guna tapi sebagai warga sby dipaksa pakai  ini bikin aplikasi keliatan sekali gak dipikirin flow nya habis isi data tidak bisa lihat data yang di isi isi data pun harus mengulang isi nik percuma komplainpengaduan juga ya gak bakal didengerin lebih baik di komen saja disini ya hahaha;negative;9,99E+15
sungguh sistem lemot;negative;9,99E+12
menyusahkan banyak sekali bug seperti tombol tidak bisa dipencet dsb;negative;9,99E+15
aplikasi verifikasi nomer hp error tidak bisa mulai dari ulasan dibawah saya tolong diperbaiki;negative;5,85E+15
aplikasi gabisa buat verifikasi no hp aja error tolong diperbaiki;negative;7,97E+15
mau upload data ae uangellek gawe aplikasi seng jelasngisini wong suroboyo ae rek;negative;9,70E+15
aplikasi taekk nggarai darah tinggi;negative;9,57E+15
jelek banget mau bikin surat aja di bikin ribet padahal kalau berbasis online mah di bikin gampang ini enggak harus lapor sana sini dulu terus apa gunanya aplikasi ini;negative;9,99E+15
ruwet;negative;8,55E+15
mau coba ngurus kartu kia diminta verifikasi nomer hp lewat wa dulu sudah dilakukan sesuai yg diminta yg ada server error error kok yo suwe temen hampir  bln hadeh bukan mempermudah malah memper sulit ngene iki;negative;9,98E+15
ngelag parah sih;negative;9,99E+15
foto selfi  belakang tak bs knpsemakin lama semakin sulit untuk menu kependudukan;negative;5,03E+15
mau ngisi data tp server error terus dari pagi smpe malam tlg diperbaiki lgi ayoo yg katanya mempermudah masyarakat tolong dibuktikan;negative;9,82E+15
bikin ruwet masa kakek di suruh buat email di aplikasi;negative;5,02E+15
bikin surat pengantarr ajaaaa susahhh banget  malahh nguras banyak waktuu padahal udah bolakbalik daftar tapi di server gk muncul  padahal pas ngesave dataa sudah sukses gitu katanya mempermudahhh nyatanya mempersulit warganyaaaaaa;negative;9,99E+15
mohon maaf namun saya harus berkata jujur bahwa aplikasi ini sangat menyusahkan;negative;8,86E+15
menyulitkan sekali apk ini;negative;9,99E+15
di aplikasi wargaku kok tidak ada menu sayang warga;negative;9,28E+15
pas udah ngisi tibalog out sedangkan saya belum dapat kode untuk pengecekan permohonan yang sedang berlangsung serasa makin dibuat ribet bukanya peraturan baru makin enak lancar malah makin ribet;negative;9,92E+14
ini lg eror apa gmn;negative;9,98E+15
kembalikan aturan seperti biasa aja g usah pakai aplikasi kalo ngurus surat malah bikin ribet n sdh gtue trouble padahal data sdh d input k rtrw n setelah d kelurahan data belom ada yang masuk ribet amat n bikin capek d jalan warga dsuruh bolak balek k rtrw cwman minta verifikasi padahal sdh d verifikasi n setelah d kelurahan data belom masuk;negative;9,97E+15
komplain pengurusan di ssw lama d suruh kesini kok makin lama makin ribet di surabaya aneh;negative;9,99E+15
kenapa mau daftar saja susah ada hal tinggal nomor tellp saja masih error;negative;9,97E+15
aplikasi jelek banget upload foto gak bisa trs ke kelurahan langsung minta manual gak usah pakai aplikasi gak bisa trs solusinya apa;negative;9,99E+15
abis update kok logout sendiri dan ga bs masuk padahal password sdh benar dan user name bener tp tetep salah pake email juga ga bs;negative;9,26E+15
logout dari aplikasi ketika mau login tidak bisa  email salah password salah padahal udah bener yg di input gilirah mau lupa password malah ga bisa email salah terus ga jelas bener ini aplikasi;negative;9,97E+15
pengurusan ruwet verifikasi data aja harus bolak balik  terlalu ribet  ruwet;negative;9,99E+15
aplikasi rumit log in lama gak bisa digunakan;negative;9,99E+15
x coba register tp error loading data terus;negative;9,97E+15
respon menanggapi nya sangat lama  payah;negative;9,99E+15
email udah bener password udah bener tp ditolak terus;negative;9,43E+15
akun saya tiba tiba gak muncul sswalfa nya terus tiba tiba lupa password pak;negative;7,01E+14
bolak balik upload foto gak bisa pdahal foto cmn  mb dan sesuai app max mb aneh;negative;9,99E+15
bagus aplikasi ini ada masalah langsung direspon masalahku  mau bikin laporan lgi soalnya tanaman liar dibelakang rumah sdh tumbuh lagi;positive;9,75E+15
aplikasi yang hanya membantu masyarakat menengah keatas bukan menengah kebawah  yng jawab jg pemkot satpol pp bukan asli dari bawahan bapak erik;negative;9,79E+15
gk ada gunanya ni buang buang paketan aja  jelek;negative;9,99E+15
maaf saya edit ulasan saya karna apk tiba logout sendiri kemudian saya masuk lagi tidak bisa berbagai cara udah saya lakukan tp hasilnya nihil padahal akun sama email dan pasword jg benar tolong diperbaiki;negative;9,54E+15
aplikasi yg gx berfaedah;negative;6,76E+14
selama orang berkuasa tidak ada rasa sosial semua permasalahan tidak pernah ada selesai suatu permasalahan;negative;9,98E+15
ngisi data aja harus sampe sepuluh kali karna keluar terus dibenerin dong ga mempermudah kalau gini;negative;9,99E+15
baru juga download baru sehari udah mnta update;negative;8,17E+15
makasih banyak pak keluhan saya langsung di tanggapi temen kalau ada keluhan sabar ya klu gak di respon laporan lagi saya x laporan langsung datang pasukan pemkot;positive;5,80E+15
sangat menyulitkan orang;negative;9,99E+15
pelapor itu privasinya dilindungi bukan di umbar  yang terancam dan jadi salah malah pelapor;negative;9,99E+15
apk tidak berguna;negative;9,99E+15
angel;negative;9,98E+15
apa gunanya aplikasi ini kalo disuruh dikomunikasikan dg kelurahan;negative;8,74E+15
masih blom detail;negative;9,46E+15
administrasi kependudukan isinya cuma pemutahiran gelar pak erik hapus aja aplikasi ini gak gunabuang buang anggaranaja;negative;9,95E+15
ribet;negative;9,99E+15
mau halal aja dipersulit ya haha;negative;9,98E+15
app blm maksimal bukan mempermudah malah memperuwet;negative;9,98E+15
apk yang tidak membantu sama sekali bahkan dalam segala prosesnyamengikuti kelas selama jam dr awal sampai akhirmengisi absensipresenttest dan posttest katanya cukup isi sekali saja giliran nunggu sertifikatnya gg keluar ke kelurahan disuruh tanya puspagatanya puspaga dijwb disuruh komunikasihkan ke kelurahan  hahaha jaman semakin maju buat segala sesuatu yang simplepraktismudah dan cepat kalo ada bintang  saya kasih dah untuk segala rasa kekecewaan saya;negative;9,01E+14
membuat orang yg mau menikah semakin susah;negative;9,80E+15
mohon diperhatikan lagi aplikasinya dan coba dicek lagi aplikasinya saat penelusuran isi formnya lama nyimpanya dan pilihan untuk prov kel kecdll gak ada pilihannya di form knpa harus serba online kalo apl kayak gini apalagi apl smua berkas ksini skrg gak bisa lewat pusat kel atau kec wilayah atau d bantu sama ptugasnya mohon untuk di telusuri lagi;negative;9,93E+15
parah apk nya lupa username nya ajja pas mau masuk ke sswalfa ajja gk ada cara lain lagi padahal mau ngecek sertifikat catin yg bukan asli surabaya aja gini ribet;negative;9,99E+15
belom pernah pake aplikasi ini tapi tdk bisa masuk;negative;7,46E+15
aplikasi eror  nyusahin calon pengantin ruwet;negative;9,99E+15
habis update malah gagal login terus;negative;9,99E+15
respon dari beberapa pihak fast respon cuma jeleknya dari apk ini pelapor untuk identitas nya tidak dirahasiakan dan malah nama dan nomer telpon di publikasikan;negative;9,98E+15
eror trus setelah berkas lengkap bingung sama apk ini;negative;9,99E+15
verifikasi pengantar nikah aja lama rt rw gk sigap;negative;9,97E+15
aplikasi ga jelas belum pernah daftar tp ada keterangan nik hanya bisa dipakai kali mengakses lupa pasword keterangannya email belum terdaftar ga jelas sama sekali;negative;9,38E+15
cetak ulang ektp dan data pengganti ektpekitirnya tidak dapat diundusampai satu bulanstatus sudah selasai dan dikirim dikelurahantapi dikelurahan tidak ada dirw juga tidak adaaplikasi parah ini;negative;7,11E+15
gak bisa upload foto jadinya gak bisa laporangimana sich;negative;9,48E+15
yg bikin aplikasi di cek dulu sebelum rilis gak sih aplikasi gak bisa dipakai kok sudah di rilis mau pilih file foto gak bisa gak keluar file explore nya buruk sekali aplikasi nya tidak berguna;negative;9,99E+15
upload foto keluhan max mb padahal foto yg di apload uk hanya  mb masih tidak bisa meskipun sdh di coba format pdf atau jpg mohon diperbaiki lagi;negative;7,51E+15
hatihati kalau mau melaporkan sesuatu di sini ternyata tidak bisa menjaga privasi tujuan melapor untuk kebaikan namun ternyata menjadi perselisihan lebih besar karena keegoisan ketua rtrwnya;negative;9,99E+15
tolong dong update untuk simpan file secara otomatis masa habis ngisi pas keluar malah ngisi dari awal lagi;negative;8,85E+15
tiap hari kok suruh update trs;negative;9,95E+15
padahal izin media sudah tapi tetep ga bisa fototerus ekitir nya ga bisa di download;negative;9,66E+14
siip;positive;8,95E+15
tolong di bantu sharetindak pt pnm mekar ini cabang wonokromo yg bralamatkan jln bratang gede iiie no  krn sdh melanggar yg mempekerjakan rata cewek semua jam kerja ngawur masuk jam  pulang jam sdh tidak manusiawi dan semena menapimpinannya itu apa tidak punya hati hanya memikirkan target namun tdk memikirkan keselamatan dan kesehatan karyawannya apakah mereka tidak punya ibu semena mena memulangkan karyawannya sperti itu;negative;9,99E+15
kenapa data mbr saya tidak terdaftar lagiparahnya lagi yg punya rumah lolos jadi data mbrsaya yg ikut menumpang orang tua tidak lolos paraaaahdan yg lolos stikernya di tutup sama kertas katanya malu di lihat orangdapat uangnya tapi gak mau stiker warga miskin paraaaah paraaaah;negative;9,99E+15
buka yg dispendukcapilehhh kelamaan ngentri data nik dll di captcha saya bukan robot cepat hilangdisuruh ulang lagiulang terus;negative;9,96E+15
lapornya disini aja blanko ktp dari taun kapan masih tetep habis padahal butuh banget memperbarui ektp yg baru trus masih lagi asn guru diperbanyak kerjaannya sudah muridnya pulang jam  masih ditambah kerjaan gurunya datang di hati sabtu utk mengajar di kecamatan tanpa uang transport uang makan dan lemburan seharusnya itu tidak boleh karena melanggar aturan jam kerja asn guru sudah pas jam masih ditambahin lagi diluar jam kerja;negative;9,99E+15
okelah;positive;9,99E+15
ok;positive;9,98E+14
tidak ada tanggapan lebih lanjut lama utk prosesnya;negative;9,99E+15
ok;positive;9,98E+14
aplikasinya berbelit belit;negative;9,99E+15
aplikasi ga gunastatus selesai kenyataan sama aja;negative;9,80E+15
ok;positive;9,98E+14
bagus sih tp disayangkan kalo bukan warga surabaya gak bisa daftar meskipun kerja dan kos di surabaya kalo memang ingin gak tercampur data orang surabaya dan non surabaya mungkin bisa dibuat fitur pendaftaran non surabaya juga;negative;9,29E+15
percuma lapor pengaduan  masalah belum selesai tidak ada solusi tiba sesi tanggapan disudahi gaji anda dari uang rakyat sudah kewajiban melayani masyarakat dengan tulus  bukan cuma kerjanya absen pulang terima gaji;negative;9,97E+15
birokrasi aja masalah ngga ada jalan keluar masalah sudah teratasi ndasmu sempal;negative;9,99E+15
aplikasi absurd dan jg sop penggunaan domain surabaya tdk dibenarkan krn banyak yg mengakui posting info dr surabaya tp tdk menggunakan domain surabayagoid dan jg satu data krg bergerak karena walau satu pemkot minta integrasi ruwet mohon diperbaiki karena itu memalukan sebagai skom kalo alasan tabel permintaan ya mohon maaf tingkat analisa anda patut diragukan coba koreksi para koordinator di pemkot yg semenang menganggap remeh tenaga kontrak saya berani tunjukkan bahwa saya layak jd prakom;negative;9,96E+15
ok;positive;9,98E+14
lama lama pemkot surabaya kurang respon sekarang;negative;9,99E+15
siiip;positive;9,79E+15
prank;negative;9,92E+15
ok;positive;9,98E+14
register dari  hari selalu gagaltidak ada solusi;negative;9,93E+15
