truth_label;confidence;ulasan
negative;7,97E+15;verifikasi akun wa eror kode verifikasi
positive;6,69E+15;Sigap tanggap mengatasi keluhan
neutral;9,67E+15;gimana lupa sandi email login via no tlp jg gk daftar lgi ktp akun
neutral;9,93E+13;moga menjembatani warga pengurus perangkat
neutral;9,88E+15;min daftar koq nik sdh terdaftar mengatasinya suwoon min
negative;9,98E+15;aplikasi kliktidak buka yg poli puskesmas
neutral;9,75E+15;login gimana min utk pengguna otomatis terlogout update lupa pasword
neutral;9,98E+15;ank sy lulus d lnjut d gk biaya ank sy llus coumpoud pens its
neutral;5,83E+14;aplikasi lupa password berdasarkan nik email username nilai pembandingnya nik akun bantuan lanjutan siola pemilik nik kehilangan akses email akses nomor hapenya
neutral;9,94E+15;jv jv ku l ny
neutral;9,60E+15;sy kasih b soalny kemarin laporan aspal ambles toko yg mengakibatkan genangan air nyiprat kedalam toko sehari dibenerin
negative;9,98E+15;aplikasi g jelasblm daftar tp keterangan nik terpakai
neutral;9,97E+15;disitus username nya login pindah aplikasi login username akun terdaftar permudah urusan rakyatnya warganya jgn dipersulit warganya
neutral;9,98E+15;iki vivi sumanti
neutral;9,94E+15;assalamualaikum akun lupa sandi ya mengurus ya ya bapakibu
negative;9,99E+15;buka alplikask wargaku muter
neutral;9,99E+14;verifikasi no hp brower
negative;8,96E+15;input pengajuan kamera terdeteksi
positive;9,90E+15;aplikasi wajib kota indonesia
negative;6,54E+14;gabisa daftar akun gimana solusinya null
positive;6,01E+15;mempermudah urusan mondar mandir k kantor pelayanan publik
positive;9,32E+15;mantabb tanggapannya langsung direspon terima kasih wali erie cahyadi
positive;5,05E+15;solutif karna lapor urusan kelurahan langsung ditangani
negative;8,79E+15;xiaomi android mui kamera dibuka
negative;9,95E+15;daftar koq pemberitahuan nik akun daftar
negative;9,98E+15;username nya tolong tampilkan masuk sswalfa web lupa username reset username gbisa
negative;9,98E+15;daftar akun e ae uwangel cak aplikasi opo iki cak
neutral;9,29E+15;tolong usulan yg aplikasi tindak lanjuti bansos pengajuan menulis pengaduan terverifikasi survei rumah rsss berpenghasilan rendah tolong walikota eri cahyadi terimakasih
negative;9,82E+15;splash screen time out
neutral;8,71E+15;mohon penyelesaian keluhan selesai belah keluhan terselesaikan sesuai laporan dinginkan
neutral;8,57E+15;komentar
neutral;9,82E+15;aplikasi pengaduan pengajuan warga surabaya yg butuh bantuan
negative;9,98E+15;aplikasi adminduk diakses cm pemutakhiran gelar aneh
negative;9,98E+15;pusat bantuannya login daftar maaf kasih bintang daftar no ktp terpakai alamat email tau tolong kasih lupa pasword via nomer telponwa
negative;9,99E+15;ngga isi kecamatan menu pendaftaran catin klik cari tp
negative;9,82E+15;gak pakai mohon perbaiki sungguh
negative;9,94E+15;aplikasi perbaikan total
negative;9,97E+15;tolong ditambahi fitur tanggapan direspon dinas terkait komunikasi dibangun arah suwun
positive;9,97E+15;membangun kota rt rw tingkat kelurahan dlm rangka mengendalikan banjir
negative;9,97E+15;gak upload foto pdhalsudah aktifin kamera
neutral;9,98E+15;utk keterangan warga miskin d ganti masyarakat berpenghasilan rendah
negative;9,77E+15;akte kelahiran kk sayang diunduh
negative;9,99E+15;tolong pengaduan petugas kebersihansampah kampung ditampilkan
neutral;9,98E+15;pelayanan pengaduan respon cepat yg lambat ditingkatkan instansi berkoordinasi terkait aduan masyarakat
positive;9,91E+15;membantu periksa puskesmas ambil no antrian online hadir sesuai tentukan
negative;8,87E+15;aplikasinya berubah masuk isi user name pasword
neutral;9,47E+15;dear pemkot surabaya tolong apk perluas warga lokalsurabayatetapi mencakup warga kota tinggal surabaya kontrak kost terima kasih
negative;6,46E+15;parah lupa user name password tdk solusi bikin akun tdk
negative;9,97E+15;knp kode odp ya gag diisi syarat ya pengaduan kode odp ya wajib diisi mhn diperbaiki
negative;8,21E+15;bpk walikota gubenure endih bantuane wargamu jok bidek ae
neutral;9,08E+15;membantu kode odp isi mengupload data isi mohon diperbaiki
negative;6,22E+15;dokumen yg selesai download
negative;9,98E+15;cek status warga penerima mbr tdk berfungsi
negative;9,89E+15;mengalami susah unduh lihat dokumen mohon ditingkatkan kendala teratasi kalo peningkatan update bintang terimakasih
negative;9,71E+15;bintang nunggu laporan ditidaklanjuti
neutral;9,96E+15;daftar pake nik udah data udah terekam database ga isi alamat lengkap
negative;9,94E+15;masuk
negative;7,19E+15;tdk masuk data respon
negative;5,69E+15;daftar akun muncul nik sesuai wilayah surabaya nik ktp xxxxxxxxxxapa keliru
negative;9,33E+15;lumayan komplit kesulitan login berkalikali tertera password nama salah perbaiki layanannya lupa password dikasih kode otp via email
negative;9,99E+15;update versi terbaru menu pengaduan dibuka keterangannya memuat data loading
negative;9,42E+15;daftar ae g isok
positive;9,38E+15;malem ngajuin pengaduan paginya langsung tindak bangga jd warga surabaya
negative;5,33E+15;kasih bintang aja yasoalnya datanya sesuai dgn yg kelurahansetelah download data mbrnya berubah terdaftar hi hi hihiiiipemkot pemkot
negative;8,17E+15;data mbr tdk dgn yg kelurahan aplikasi masuk dlm mbr update sdh masuk dlm mbr tp dlakukan pengecekan kk nik kelurahan mbr yg
negative;9,67E+15;aplikasi e pemutakhiran data aplikasi wargaku surabaya diaksesdilihat
positive;5,07E+15;aplikasi bagus melaporkan fasilitas publik surabaya
positive;9,68E+15;apik langsung d tanggapi
positive;9,43E+15;aplikasi membantu komunikasi warga dgn pemerintah
negative;7,89E+15;usul blt koq dijawabnya usulan diterima nggak blt nya mohon bantuannya berwenang
positive;9,98E+15;jooss laporan warga wisma tirta agung asri langsung ditindaklanjuti
negative;9,37E+15;daftar nomer nik salah nomer nik masukkan sesuai katepe
negative;9,19E+15;bintang udah setahun gada kepastian apk bantu pengangguran
negative;9,93E+15;bintang dlmau coba download ulang krn kemarin ga bs dpake antri online pkmpdhl sblmnya bsmoga skr bs stlh dwnld ulang
negative;5,56E+15;perbaiki komplain terkait sertifikat vaksin tombol upload ktp tombol bukti vaksin ditekan terimakasih
negative;9,60E+15;login akun gabisa ery cahyadi gimana inimohon diperbaiki
negative;8,93E+15;aplikasi opo iki daftar ae gak isok
positive;9,94E+15;okokbisa login pakterima kasih
negative;9,96E+15;mendaftar tolong utk pemkot surabaya utk diperhatikan digitalisasi modern sukses lancar utk warga surabaya terima kasih
negative;6,21E+15;daftar akun gk ya
neutral;9,99E+15;petujuk amel kunci pasbor
neutral;9,81E+14;tolong kasih riwayat pencaharian habis daftar antrian puskesmas online nomor antrian lupa screenshot download cari daftar riwayatnya
neutral;9,99E+15;coba mendaftar puskesmas
neutral;9,16E+14;mohon penertiban bangunan jl ngagel dadi bangunan yg mempersempit jalan terima kasih
positive;9,44E+15;perjinan cepat diprosesasal persyaratan berkas lengkap
negative;9,98E+15;pengaduan sertifikat vaksin suwi eram tanggapane aplikasi opoooooo iki gedabrus
neutral;9,96E+15;laporanusulan bansos verifikasi
neutral;9,71E+15;bpk eri cahyadi walikota surabaya mohon bantuannya mengurus surat sertifikat hak milik tanah terkendala sikap lurah balaskrumprik wiyung surabaya barat surat pengurusan sertifikat perhatian ucapkan terima kasih
negative;9,48E+15;sek angele ngelebokno nik ktp jare gak terdaftar lak g akoni penduduk surabaya yowes pindah penduduk konoha
negative;9,99E+15;gak instal
neutral;8,39E+15;udah ngisi nik nik terdeteksi nik surabaya lupa kalo warga negara kongo selatan
neutral;8,83E+15;kesini pengaduan perihal sertifikat vaksin yg blum muncul kasih bintang klo tanggapi keluhan sukses naikkan okey
neutral;9,98E+14;kalo utk mengirim video gambar obyek laporan
negative;9,99E+15;mohon kasih ganti password tolong adakan ganti password gimana
negative;9,98E+15;bikin akun nik warga surabaya aplikasi tertulis nik ditemukan silahkan mendaftar akun nik surabayatolong tindak nya
negative;8,39E+14;gak daftar daftar tulisan eror solusinya
negative;9,45E+15;mendaftar nik nya tdk terdaftar warga surabaya gmn
negative;9,91E+15;servernya erorr ya daftar ndak trs mohon penjelasannya
negative;9,94E+15;unggas file ya pdhl jadikan pdf file kk ktp dibantu
negative;9,86E+14;gabisa login ud hub wa nanya klo gabisa login ud dksh username pswrdtetep aja ga login tlg d bantu min mksh
negative;9,01E+15;aplikasinya gk dibuka minggu ya
negative;5,96E+15;masuk muncul tulisan mengecek pembaruan trs pdhal udh d update jg muncul trs g masuk menu
neutral;9,99E+15;daftar pake nik ya takut lupa mohon utk dipermudah min gmail password mendaftar
positive;7,30E+15;setuju menginfokan kejadian dilapangan cepat
positive;5,34E+15;respon cepat saran
positive;9,85E+15;go
negative;9,89E+15;kug g mendaftar ya
negative;9,99E+15;minggu install sdh mnt update g i update g d buka aplikasi nya
negative;9,93E+15;lg d coba
neutral;9,78E+15;data mbr mohon perhatikan warga surabaya ngontrak
neutral;8,52E+14;cuman saran aja kalo ditampilkan keluhan masyarakat beranda aplikasi biar masyarakat tau keluhanya sosialisasinya terimakasih
neutral;9,99E+15;prosedur kepengurusan surat pernyataan ahli waris penutupanpengambilan uang bank
positive;9,85E+14;suroboyo
neutral;9,82E+15;min apk pengajuan laporan ta informasi sby dri sektor perekonomian pendidikan dll
positive;7,65E+15;bersamaan cepat nya tanggapan via online semoga cepat tanggapannyatindak proses lapangan
neutral;9,98E+15;maaf min komen aplikasi gmna komentar blsan gitu min
neutral;9,65E+15;coba sek minndelok perkembangane data pelapor dirahasiakan op gk min
neutral;9,97E+15;syarat ketentuan dimanaga linknyakerahasiannya terjaga ya
positive;9,92E+15;mantul kota suroboyo
neutral;9,99E+15;min datane seng lapor aman ngak yo
negative;5,17E+15;kelurahan benowo
negative;6,10E+15;terpaksa batal mengisi data pilihan lahir tua lahir mengisi
positive;9,18E+15;help warga surabaya for trouble solving
neutral;6,93E+15;star lihat manfaat nya
neutral;8,49E+15;telu sek ya min
neutral;9,94E+15;bintang disik min min tolong jawaben yo kirokiro aduan warga iki dirahasiakan dilindungi gak pelapornya
negative;9,84E+15;wkwk tdk registrasi salam programmer penggerak
negative;5,72E+15;coba instal iklan bola u udah dicoba x muncul ga dibuka aplikasinya semoga bs cpt diatasi thx
positive;8,57E+15;aplikasi memudahkan membeli barang umkm lokal
neutral;9,53E+15;admin epeken sby sy usul saran utk harga yg tertera epeken sedapat mngkin disamakan dg harga pasar mahal selisih harga terimakasih
positive;5,83E+15;memudahkan penjualan umkm surabaya
negative;8,98E+15;log in sdh memasukkan user password dgn benarbagaimana masuk akunnya pilihan menu pemulihan akun lupa passward password salah
positive;9,64E+15;epeken surabaya terima kasih hadir memfasilitasi warga surabaya berjualan tolong dibantu login usernamepasword salah ganti pinpasword
neutral;9,96E+15;erik tolong disempurnakan aplikasi mudah
positive;7,89E+15;meningkatkan perekonomian keluarga dijual beragam mudah penguppoad an produk yg dijual terima kasih admin kota surabaya wani
negative;9,99E+15;versi aplikasinya gak login via web mohon diperbaiki aplikasinya
neutral;9,97E+15;min kalo lupa password username nya tolong kasih opsi lupa passwordusername
positive;7,16E+15;terimakasih e peken alhamdulillah maintenance akses
neutral;9,93E+15;bikin akun dr laptop lancar instal apk login ulang gagal terusmohon solusinya
negative;9,89E+15;buka uninstall pasang
negative;8,87E+15;pembaruanalah dibuka forceclose min
negative;9,98E+15;gak masuk username n password uda lupa
negative;7,48E+15;masukkan produk katalog suusah amir gk bs masukkan gambar produk langsung kudu ss lwt galeri gitu file g duhkah
negative;9,98E+14;yo opo login e aplikasi ruwet
negative;9,99E+15;gk iso daftar
negative;9,95E+15;login aplikasihanya desktop
neutral;9,98E+15;loginsign in via aplikasi sdh daftar verivikasi email mohon infonya
neutral;9,98E+15;user name password dapatnya ya
neutral;9,49E+15;aplikasi khusus pns ya sdh download gak daftar
negative;9,97E+15;login sdh verifikasi klu desktop
negative;9,91E+15;daftar verifikasi sukses login aplikasi usser name password salah
negative;9,98E+15;tolong diperbaiki daftar via google aplikasi ndak login
negative;9,96E+15;perbaiki login pc aplikasi gabisa
negative;9,90E+15;bintang login pakai aplikasi
neutral;9,99E+15;ewangono download rek seng asli suroboyo kendala tunggu update aja
negative;9,96E+15;masuk web login klo aplikasi ga yo min rewangono poo min
negative;9,99E+15;login diaplikasi login laptop mohon diperbaiki
positive;9,97E+15;membantu presensi pegawai
negative;6,60E+15;ganti hp apdatenya sulit kantor pusat coba dipermudah apdatenya nik terdaftar passwod
negative;9,97E+15;gak ganti device
negative;9,63E+15;buka muncul tulisan mengecek pembaruan moohon bantuannya takutnya presentsi terbaca terimakasih
negative;9,99E+15;pdhl sdh update tpi login trus pembaruan
negative;8,45E+15;ditingkatkan uiux terima kasih
neutral;9,37E+15;lupa username pasword
neutral;8,97E+14;kak ya app kantorku loading trus gk absen nihh bantuanya
negative;9,72E+15;min sdh minggu apk kantorku tdk bisabagaimana normal dipake kmbali yamohon penjelasannyatrima kasih
neutral;9,98E+15;gimana lupa password login tulis no nik tetep gak hp ristart
negative;9,98E+15;gk login
positive;9,85E+15;keren absen anywhere
positive;9,89E+15;memudahkan absen dinas lapangan
negative;9,92E+15;status nya memiliki device yg aktif hp keseret login udh gabisa
positive;5,44E+15;efisiensi jarak zwaktu
neutral;9,97E+15;lupa password check google acount chrome kemanan pengelola sandi pilih kantorku tanda mata semoga berhasil
positive;9,57E+15;membantu disaat ad kendala dijalan
negative;9,98E+15;login log outganti perangkat
neutral;7,93E+15;kak hp kn semalem d restart pabrik suami lupa passwordnya gimana kak ga ad kantorku susah ga absen telat n aplikasi membantu terimakasih
neutral;6,56E+15;min tanyak hp yg log kehadiran apk trabel ahirnya hp login ya mohon bantuanya selebihnya apk oke membantu
neutral;9,97E+15;mohon fitur pengguna lupa password hp rusak hp hilang dll
neutral;9,97E+15;device terdaftar hilang dicuri login akun perangkat
neutral;9,35E+14;ganti hp yg gk login yaa tau
neutral;9,87E+15;pindah hp login pake hp tolong dibantu
positive;9,61E+15;sip kecepatan akurat kehadiran
negative;9,79E+15;berkas cetak halaman eror padahall butuh cepat
negative;9,99E+15;bingung
negative;9,54E+15;aplikasi terutama di layanan pengaduan sudah bagus tapi kadang mau buka sering ngebug semoga secepatnya tidak sering error
negative;9,92E+15;verifikasi nomer hp berhasil
negative;9,99E+15;aplikasi pemerintah bikin orang pusing urusan dibikin online ya benahi yg gak pas aplikasinya
negative;9,99E+15;bikin repot aja mengurus surat menikah aja sulitnya ampun mengajukan hp ga submit mengajukan web browser pc stuck menyimpan data mending pakai berkas offline aja pakai surat pengantar rt rw udah pakai surat pengantar online infonya pas kelurahan ngalahi ngikut ngurus online sistem nya kopler ngebug stuck
negative;9,99E+15;tolong perbaiki sistem nya ngurus suka eror lelet gajelas
negative;9,99E+15;ngebuk gk apk ruwet
negative;9,99E+15;kocak
negative;9,99E+15;aplikasi gak mendukung data ilang kadang error ngurus surat married aja ribet kali huft memudahkan menyulitkan maaf realita
negative;9,99E+15;loading ga mari mari
negative;9,80E+15;verifikasi no hp aja sulit gimana ngurus surat online nya
negative;9,99E+15;aplikasi gak
negative;9,62E+15;aplikasi pemerintah gak bener berjuang matian memulihkan akun berhasil ketemu masuk verifikasi nomor hp berulang kali web error inisiatif wa manual otp menu halaman utama otomatis isi ulang otp mohon cek coding aplikasinya salah
negative;9,99E+15;membantu mempermudah mempersulit padhal udah pas tpi gagal ngapain ciptaiin apk gini klo ujung nya bikin mumet warga nya angellllllll
negative;9,75E+15;log
negative;9,99E+15;rouwet aplikasi gak gampangno uangel mosok verifikasi eror download bukti ekitir gk knek angel wez
negative;9,99E+15;warga ururanya keperluan tertunda mengurus surat makan selesai berminggu minggu selesai susah masuk datanya
negative;9,99E+15;disuruh pakai aplikasi aplikasinya aja gak file yg upload format upload sistem eror gimana si
negative;9,96E+14;aplikasi mempermudah mempersulit warganya
negative;9,99E+15;garaii ruwet
negative;9,99E+15;gatel cokinput data ga apanya yg mudahkalo dibikin ribet knp gampang
negative;9,97E+15;penipu nya dipermudah pakai apk tolong ditingkatin ngomong disesuaikan orang mls ngurus tf
negative;9,98E+15;ngurus perizinan catin masukan berkas input data kalo klik ajukan permohonan verifikasi berhasil nggaknya apasih maunya mempermudah mempersulit gini membuang tenaga bolak kua rt rw kelurahan deadline tgl nikah bingung min tolong dikasih solusim cepat gini kebingungan izin kerjanya bolak rt rw ngurus berkas ya allah
negative;9,99E+15;ribet banget sing ngurus surat nikah kebanyakan verifikasi cobaa ga singkronisai nya sma kelurahan rt rw ribet gajelas puyeng aplikasi bug eror mempersulit
negative;9,96E+15;proses upload file aplikasi gagal piye iki
negative;9,99E+15;eror nya solusinya mempermudah mempersulit ruwet ruwet ruwet
negative;9,99E+15;aplikasi pencitraan uda dilaunching ribet bikin orang mondarmandir kelurahan jaman bu risma dipecat developernya
negative;9,99E+15;eror gk sesuai ekspektasi
negative;1,00E+16;keluhan tgl tdk tindak bosem pd milik pemkot eceng gondoknya giliran kritik eh gak statusnya diping x gak tanggapan nunggu viral trs dilkerjakan ga uang rokok malas respon
negative;9,98E+15;ribet udah diikuti alurnya yg sistem error sj trz
negative;9,99E+15;aplikasi ruwet g mempermudah mempersulit mw log in aja ribet bgt mw udh mw masuk susah bgt aplikasi opo sakjane iki
negative;9,98E+15;lemot susah akses d buka gangguan
negative;9,98E+15;pemkot gk perubahan aplikasi dana pemkot kemajuan
negative;9,98E+15;aplikasih asw pusing ribet daftar ulang tulis user pasword konfirmasi jawabannya user email valid pasword salah ya yg pakai sehinggah membuka aplikasi sayang warga ribet username email pasword tlng bhs yg gak berbelit belit mbantu ya langsung ditunjukin
negative;9,81E+15;aplikasi bikin susah sulit orang menikahbanyak persyaratan nikah aplikasi muncul
negative;9,99E+15;verifikasi jelek
negative;9,99E+15;aplikasi kesalahan sistem gimana
negative;9,99E+15;ribet susah verifikasi nomor telpon aja error
negative;9,99E+15;memudahkan ribet edukasi perangkat kelurahan rt rw penyampaiannya warga oper tolong perbaiki sistem input data tap file dibilang hpnya gak mendukung aplikasi pake pc gabisa buruk pelayanannya
negative;9,99E+15;apk gk ribet udh zoom belom sertifikatnya
negative;9,99E+15;lemot aplikasi ne wes gawe wifi
negative;5,33E+15;aplikasi gaguna cok laporan pungli ae gak onok respon hapusen ae po o aplikasine cok
negative;9,99E+15;birokrasi ribet orang ga kerja ngurusin berminggu minggu kerja sumatera ngurusin ginian ngambil cuti minggu ga
negative;9,99E+15;selamat siangmohon bantuan p walikota surabaya beserta dinas terkaitsaya mengajukan pelebaran makam janji janji ajaorang hidup mati tinggal tunggu jadwal aja bertindak warga mendesak alasan makam wilayah penuhsaya mengadu kemana rapat bpkad berserta dinas dinas terkaitdan setuju semuatapi zoonk
negative;9,99E+15;aplikasi eror gak ngurus ribet
negative;9,98E+15;aplikasi klampid digabung bagus membantu utk verifikasi aja gagal ya
negative;9,99E+15;susah banget diaksesmw membantumempersulit sih birokrasi
negative;9,99E+15;aplikasi ruwet suka eror gak mempersulit orang nikah
negative;9,95E+15;niat hati mengurus catin suruh aplikasi aplikasinya kadang buka kadang bener kecewa bolakbalik rt rw kelurahan pakai aplikasi hidup mudah menguras tenaga
negative;9,99E+15;aplikasi mengurus catin aplikasi loading doang gak selesai selasai kalo gak gitu server error aplikasi mohon diperbaiki warga disuruh pakai
negative;9,97E+15;aplikasi telek pasword udh bener gagal kelurahan disuruh menggunankan aplikasi bs mempersulit warga
negative;9,96E+15;lupa pasword susah relog in
negative;9,99E+15;kebanyakan error sistemnya
negative;9,94E+15;slalu request time out teruss gak login
negative;9,98E+15;aplikasi gak d akses berguna gampang ngurus offline online bikin nambah ribet
negative;9,03E+15;gak dibuka request time out hadeh
negative;9,99E+15;bener aja dusuruh ngurus catin aplikasi aplikasi gak dibuka maunya mempersulit pengurusan membuang tgl dikerjar deadline aplikasi bobrok banget perbaikan berkas kua
negative;9,99E+15;error an mulu gbisa d buka apk gajelas
negative;9,90E+15;tolong tingkat lagii apk nya buka apk nya aja gak lohbuat kalo online aja gak max apknya tolong eri gimana solusinya iniii
negative;9,99E+15;error gk berguna
negative;9,98E+15;server time out
negative;9,99E+15;surat ijin nikah susah banget jodoh jg gak dpt y dr daerah mn tuh d daerah urus surat nikah gampang d susah y mnt ampun
negative;9,25E+15;aplikasi terbuka mending ngurus offline aja cepat
negative;9,98E+15;aplikasinya buruk susah banget akses ribet pengurusan surat surat pakai manual aja gampang cepat
negative;9,49E+14;masuk gagal ga buka ya
negative;8,33E+15;ngasih tutorial ruwett e astagfirullah
negative;9,92E+15;daftar gampang daftarnya sulit
negative;9,98E+15;minus pilihan pengurusannya aplikasi lengkap akses pc gak minimal akses manapun hp laptop error perizinan klampid error verifikasi nomer permintaan perizinan ribet
negative;9,99E+15;disuruh ngurus online biar gampang kenyataannya online ribet error berguna error sistemnya disuruh refresh browsernya kocak
negative;9,99E+15;ribet
negative;9,99E+15;buruk bug menyusahkan
negative;9,98E+15;sumpah mempersulit sswalfa dibuka kalo logout ujungnya email sm password gabisa masuk lg dibilang salah ganti email password
negative;9,98E+15;ga karuan pusing ngurus domisili ruwet ga koyo biyen
negative;7,48E+15;aplikasinya eror daftar email pasword nya bener engga login mohon pemerintah perhatikan perbarui aplikasinya mudah aplikasi wargaku surabaya
negative;9,78E+15;ribet pasangan salah satunya kota
negative;9,99E+15;membangu
negative;9,93E+14;gak gausah aneh poo
negative;9,89E+15;gajelas
negative;9,99E+15;ya jujur ajah kesini aneh program pemerintah programnya aneh ribet buangbuang aoa class catin diadakan fungsinya manfaatnya bermanfaat bimbing orang tau menikah juju ajah kecewa sih program eri cahyadi mohon ditiadakan tindak lanjuti programnya kasihan kota ribet sertifikatn
negative;9,99E+15;ribet dibikin online nyimpen data aja gak tulisan antrian molor ngurus heran perbaiki
negative;9,99E+15;ribet pakai aplikasi nikah sulit mending hapus aja
negative;9,99E+15;urus keperluan nikah ribet banget domisili
negative;9,99E+15;tujuannya mempermudah beneran situs ga diperbarui error aplikasi kekurangan sekelas aplikasi pemerintahan userfriendly saran mending metode orang bingung kebantu
negative;9,99E+14;aplikasi bobrok pelayanan kelurahan bobrok nya petugas pakai nada bentak
negative;9,57E+15;perizinan nikah mudah ribet
negative;9,99E+15;verifikasi nomor hp susah website nya gagal
negative;9,98E+15;daftar gagal
negative;9,99E+15;negara yg korup susah klo cepat gak ribet calo nya paham masak ga paham
negative;9,99E+15;pembaruan gak ambil nomor antrian puskesmas gak cek uda terdaftar blom gak cancel jg gk tau uda terdaftar puskesmas puskesmas marah daftar tp gak pdhl gk tau uda terdaftar blom cancel gak krn gk cek blokir bpjsnya yg salah aplikasi ya penjaga puskesmas aplikasi rusak yg yg blum update versi
negative;9,95E+15;bug tanggal merah server dimatikan
negative;9,99E+15;aplikasi payah mempermudah bikin ruwet login gk
negative;9,98E+14;gabisa daftar akun bug sempurna
negative;9,99E+15;aturan sampah
positive;9,98E+14;ok
negative;9,99E+15;menyulitkan aplikasi error
negative;8,01E+15;mengajukan keluhan tdk tanggapannya gimana nih aplikasi gunanya
negative;9,99E+15;kecewa sistem pemerintah yg memperibet akte lahir sy nama ortu nya salah membenarkan kesalahan nama tsb sulit kelurahan sy bolak kelurahan pengadilan negeri sy ditolak dikabulkan nya
negative;9,99E+15;gabisa login udah bener bikin akun aja ribet mempersulit masyarakat
negative;9,98E+15;aplikasi gk layak gk gk simpan data minus pool
negative;9,98E+15;nikah persulitt
negative;9,99E+15;aplikasinya nggak gini sih diperbarui menu nya
negative;9,96E+15;aplikasi tai relog mulu bangke
negative;9,96E+15;aplikasi ruwet
negative;5,11E+15;aplikasi edar kasiahan warga surabaya niat engkau persulitkan
negative;9,99E+15;surabaya ruwet ngurus pake apk apk gk layak rilis ngurus surat nikah aj ribet mending offline hpus aj peraturan serba apk nya bikin susah yg mo nikah zoom tpi ngisi ssw gk terdaftar calon catin ahh bikin emosi aj ruwettt polll surabayakuu bikin susah warga yg nikah aj ruwetttt ruweettt poullll surabayakuuu
